architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.6,304.59168958663935,"[0.47891156440959765, 0.54104308392725831, 0.56281179111290414, 0.58321995513509461, 0.59954648574733949]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.5,308.18382263183594,"[0.6671201812707378, 0.74149659804476087, 0.77006802715682121, 0.79092970537760898, 0.81133786810228348]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.6,258.23266983032227,"[0.77505668863958244, 0.84784580447506197, 0.87324262987188739, 0.88843537341980705, 0.90068027135195916]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.5,277.1047592163086,"[0.79705215446532718, 0.90839002267573699, 0.9346938775510204, 0.94829931972789117, 0.94943310657596369]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.5,321.8152892589568,"[0.74467120116530094, 0.80770975040470394, 0.82947845761738126, 0.82630385471309398, 0.82517006789205294]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.4,288.5251042842865,"[0.76780045354177084, 0.84013605420551607, 0.88049886621315188, 0.89387755104743971, 0.90022675715336187]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.5,307.72368931770325,"[0.7684807258398354, 0.82743764212882975, 0.85578231314142272, 0.87913832237390699, 0.88639455801235034]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.5,320.4531500339508,"[0.68616780058867266, 0.75487528358186995, 0.77482993229716812, 0.82063492058085752, 0.794557823237378]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.4,342.03622102737427,"[0.69773242689854975, 0.78730158735565048, 0.82585034073074925, 0.83741496617561562, 0.85011337906324946]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.4,404.5090205669403,"[0.73537414917329547, 0.86462585036716766, 0.89999999924311558, 0.92517006727032647, 0.92743764199367185]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.4,365.71526980400085,"[0.66598639412531779, 0.75442176913998837, 0.77369614504362183, 0.81451247124985504, 0.79863945545793391]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.4,382.39264011383057,"[0.64444444471476026, 0.70907029491973839, 0.73401360538811367, 0.77324263049361386, 0.78004535141985976]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.6,432.2128002643585,"[0.68775510214894264, 0.76167800480546322, 0.76598639466594942, 0.7770975057770606, 0.77777777788590408]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.6,404.3102412223816,"[0.7866213152738385, 0.86870748280397614, 0.88956916051116386, 0.90249433057919115, 0.89319727896562784]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",False,0.6,418.0260989665985,"[0.82925170111277746, 0.86621315214369032, 0.90294784618343082, 0.9018140593353583, 0.90680272146687757]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.6,434.50868916511536,"[0.74988662088268743, 0.8092970522623214, 0.84081632636842274, 0.84376417220044297, 0.85328798148096829]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.4,501.28883814811707,"[0.81791383171297793, 0.8698412693547013, 0.90204081608324638, 0.91609977299934608, 0.92131519250047988]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.5,469.0816173553467,"[0.76893424017359069, 0.84535147343633399, 0.87981859361773984, 0.8868480715351581, 0.9079365071796236]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.4,565.4546253681183,"[0.82154195011337872, 0.88888888907811003, 0.91224489795918362, 0.91836734693877553, 0.92925170068027207]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.6,481.3848834037781,"[0.83514739256056525, 0.85782312930576388, 0.8947845807151189, 0.90476190497815745, 0.89886621334114858]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.6,468.24461674690247,"[0.81678004535147397, 0.8517006800558562, 0.89591836734693875, 0.89773242630385486, 0.90612244897959182]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.4,568.3089880943297,"[0.73061224414107484, 0.80544217714106414, 0.82902494358097345, 0.84716553185261834, 0.86462585012388338]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.6,483.39232921600336,"[0.47278911580844801, 0.61133786831853609, 0.6551020409514845, 0.66485260700692939, 0.69387755134478724]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.6,593.4369184970857,"[0.60907029478458052, 0.6462585033472974, 0.68004535139282818, 0.69886621304380114, 0.71632653055818174]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.6,649.2476370334625,"[0.80861677991019354, 0.88594104259733175, 0.92063492063492058, 0.9120181405895692, 0.92380952278232353]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.4,608.3660173416138,"[0.76258503439204761, 0.85079365098287185, 0.86893424079531711, 0.86689342422550231, 0.87709750626362915]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.6,565.6043500900269,"[0.77687074832635128, 0.82108843545524446, 0.87188208597857941, 0.8839002265140854, 0.88639455706624493]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.4,616.6098999977113,"[0.65328798226488416, 0.7256235828745663, 0.7684807258938986, 0.78095238108753884, 0.77097505712184777]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.4,740.9293758869171,"[0.83265306144074247, 0.89365079384001478, 0.91088435374149657, 0.92222222241144336, 0.93151927456563832]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.4,614.9036536216737,"[0.71972789099427303, 0.8521541952816537, 0.85963718826267999, 0.88185941048490213, 0.8913832191977642]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.6,650.3227088451384,"[0.79455782264268315, 0.86598639431453883, 0.89591836737397035, 0.90816326506283818, 0.91814058932587672]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.5,729.1906354427338,"[0.6775510202459738, 0.83219954629603965, 0.8757369606943628, 0.89614512450030059, 0.9113378687510415]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.6,724.8145651817322,"[0.57573696159992094, 0.6560090705110373, 0.68503401336215797, 0.6950113378144176, 0.70498866186120346]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.5,745.0433661937714,"[0.70975056643388712, 0.78163265289903494, 0.81111111119220591, 0.8170068025318673, 0.8356009073538575]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",False,0.4,758.6474139690399,"[0.63378684850506772, 0.72086167816672464, 0.7616780049676527, 0.77210884380773082, 0.78934240357405472]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.4,907.7389848232268,"[0.81156462622878234, 0.86281179159947263, 0.88843537452810206, 0.90680272127765649, 0.91020408182187418]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.4,770.321049451828,"[0.77074829883315932, 0.85102040797404421, 0.88253968205311406, 0.90362811799492693, 0.90476190454565208]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.4,826.5150990486145,"[0.39773242631737066, 0.46757369625325107, 0.52018140567943894, 0.52970521535192217, 0.56235827661695936]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.4,851.3049783706665,"[0.84444444466069712, 0.92403628117913827, 0.94285714285714284, 0.94149659863945578, 0.95895691609977329]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.5,23.713907957077023,"[0.82018140589569166, 0.89614512395966894, 0.91201814034628492, 0.93015873042904595, 0.93151927437641724]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.5,34.76272535324097,"[0.77913832186030696, 0.84104308341365819, 0.85419501144599486, 0.87959183678875708, 0.87936507914882667]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.6,16.699695348739624,"[0.8727891156462585, 0.91179138321995468, 0.93083900226757366, 0.91995464852607711, 0.94195011337868484]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.5,35.402327537536614,"[0.48934240379030741, 0.54489795937289454, 0.57278911597063753, 0.59523809523809523, 0.60249433106575967]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.5,58.92397880554199,"[0.68934240373624422, 0.76439909324083744, 0.78662131546305958, 0.80000000027031581, 0.80589569204248268]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.4,10.008959531784056,"[0.48435374117221963, 0.59614512436514266, 0.65487528355483837, 0.64285714220838486, 0.68004535185236514]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.6,18.849440336227413,"[0.832879818810357, 0.8555555557718082, 0.8807256236368296, 0.88730158751783994, 0.89614512493280596]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",False,0.5,39.08962893486022,"[0.80884353741496595, 0.91564625850340131, 0.94444444444444442, 0.96009070294784582, 0.96598639455782309]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.5,9.602666854858398,"[0.47414965943144022, 0.61451247152017086, 0.64058956907990294, 0.68503401344325265, 0.68117913870043767]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.4,35.86267447471619,"[0.74648526082503819, 0.81541950116081841, 0.86870748196599701, 0.87777777702089343, 0.89977324290070138]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",False,0.5,18.197312831878666,"[0.86643990908079949, 0.92517006829752668, 0.94648526104129094, 0.94399092997553125, 0.96031746058777612]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.6,27.352166175842285,"[0.80226757296629236, 0.86439909275426885, 0.89569160949075577, 0.8979591834301851, 0.90680272087218272]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.5,20.19477391242981,"[0.77755102046222646, 0.88707482993197284, 0.92267573696145122, 0.91859410430839006, 0.93832199546485262]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.5,25.53304076194763,"[0.77460317438692194, 0.83378684818068871, 0.83877551052846067, 0.85986394590261028, 0.85827664409905602]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.4,12.962329864501953,"[0.77301587279962036, 0.87891156413928184, 0.91383219981680108, 0.93106575990750406, 0.93922902494331062]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.6,35.4469473361969,"[0.68684807218391608, 0.77664399109189475, 0.80113378668588309, 0.81632653050411852, 0.84444444482288661]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.6,36.29455661773681,"[0.80544217673559038, 0.86643990935111537, 0.89863945553902869, 0.91337868456397198, 0.92539682515354116]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.4,24.654136896133426,"[0.73242630347643312, 0.82789115605711128, 0.86621315171118496, 0.88888888840232039, 0.89229024948716973]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.6,26.75309157371521,"[0.70045351398234468, 0.84897959210705054, 0.9009070297487739, 0.93696145100388128, 0.92857142832814432]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.5,44.02382707595825,"[0.75170068054242467, 0.82380952421499754, 0.87233560112328212, 0.86417233600638077, 0.87482993218904181]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.4,27.05348873138428,"[0.48458049870402364, 0.63151927334921698, 0.77868480701295162, 0.85419501109458418, 0.86848072562358281]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.5,43.04120659828186,"[0.45056689347809947, 0.53741496617561568, 0.55600907005150035, 0.55827664366655072, 0.56848072555600382]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.5,30.3714759349823,"[0.78253968264780893, 0.86848072581280389, 0.87006802742713707, 0.86825396849725256, 0.899092970710763]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.6,24.34054970741272,"[0.84376417271404314, 0.87664399130814741, 0.89455782331847278, 0.90068027229806458, 0.90249433144420188]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.5,15.193197250366213,"[0.80975056586622385, 0.86712018091932719, 0.88117913810574278, 0.89478457974198189, 0.90317460344491907]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.5,42.92485117912293,"[0.76530612304367451, 0.81655328808998573, 0.81632653104475028, 0.83356009113545315, 0.85102040824436009]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.5,60.77044844627381,"[0.36961451247165533, 0.69160997745942099, 0.86371882088870955, 0.90793650769322365, 0.92380952332295529]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.6,14.31654691696167,"[0.78435374073971431, 0.84240362763134535, 0.90362811818414801, 0.92018140589569164, 0.91088435374149657]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.5,47.18342590332031,"[0.80816326541424877, 0.89705215419501139, 0.91292516931114287, 0.92675736988482837, 0.93265306149480565]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.5,18.257603645324707,"[0.74263038500095979, 0.82086167778828245, 0.8743764169902758, 0.88798185968074672, 0.90022675742367764]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.5,18.335075616836548,"[0.82925170019370353, 0.89274376368576702, 0.91315192695107317, 0.92494331065759638, 0.92290249460138163]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.6,30.074709177017212,"[0.74353741456051259, 0.79183673426137224, 0.82879818548150619, 0.83537414949767441, 0.85102040827139169]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.6,30.74314975738525,"[0.81179138300370202, 0.90113378663181987, 0.92063491960772037, 0.9219954640957233, 0.93265306149480565]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.6,53.139999628067024,"[0.47460317471130092, 0.57324263070986659, 0.59773242662823389, 0.62290249427700262, 0.62517006816236886]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.4,29.69794178009033,"[0.70045351409047096, 0.8117913830577651, 0.83219954653932393, 0.86009070273159316, 0.88458049810932882]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.4,42.32892060279846,"[0.66666666655854034, 0.75736961489091381, 0.80975056727186623, 0.80022675723445658, 0.83151927448454355]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.4,64.1263654232025,"[0.68707482995900437, 0.76689342382002845, 0.84716553212293422, 0.87074829883315941, 0.89024943262000744]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.5,36.548975229263306,"[0.58526077116427777, 0.66031746074996567, 0.69546485252661494, 0.69682539731196536, 0.72063492082414171]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.6,63.22769641876221,"[0.81541950151222908, 0.85215419520055902, 0.87800453533661338, 0.89115646277425509, 0.90816326530612246]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.5,68.06763815879822,"[0.64829931953867004, 0.81814058935290834, 0.88548752758778682, 0.91405895667281556, 0.93061224489795913]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.6,77.05242371559144,"[0.67551020435194853, 0.74920634947666509, 0.7857142856602225, 0.80634920661952225, 0.82131519314923795]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",False,0.5,41.90707635879517,"[0.74965986432402043, 0.826757369641544, 0.84104308392725835, 0.87641723358712231, 0.87233560109625052]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.5,33.326286554336555,"[0.78934240341186523, 0.87278911513265844, 0.87460317438692192, 0.8968253963117967, 0.89637188159959924]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.6,39.8184757232666,"[0.87437641744981276, 0.92993197297833674, 0.92244897959183669, 0.92675736961451249, 0.94625850340136053]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.4,37.727324485778816,"[0.78435374171285133, 0.85691610015168485, 0.87891156462585029, 0.89387755123666079, 0.90362811831930601]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.6,37.12442421913147,"[0.80476190516737856, 0.87460317479239569, 0.89455782331847278, 0.89297052156898171, 0.91179138324698628]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",False,0.4,37.15327024459839,"[0.71632653066630803, 0.80022675769399354, 0.84172335552250177, 0.86213151824717615, 0.87868480676966731]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.6,38.509788036346436,"[0.73197278900751994, 0.8020408159480884, 0.82743764215586135, 0.83537414976799029, 0.84535147354446027]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.5,29.68925142288208,"[0.71678004540553708, 0.82131519252751151, 0.8591836727665666, 0.87641723364118551, 0.88185941021458636]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.6,36.3312749862671,"[0.52222222187081158, 0.63151927426829091, 0.68412698396479465, 0.69795918302471138, 0.69297052167710804]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",False,0.6,41.95067548751831,"[0.81587301590004746, 0.90068027237915937, 0.9226757372317671, 0.92471655277438169, 0.94126984126984126]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.5,89.97202754020691,"[0.48843537409559667, 0.54739229019536995, 0.58367346971213407, 0.59886621326005374, 0.62335600920545275]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.4,74.2885205745697,"[0.61927437632262305, 0.71292516985177457, 0.75011337857668092, 0.78866213189771661, 0.79682539666320729]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.6,73.23573732376099,"[0.82222222227628539, 0.87528344595513374, 0.91065759612859787, 0.91473922832212207, 0.94058956943131355]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.4,43.747986793518066,"[0.7870748294183727, 0.87959183622109371, 0.90997732426303857, 0.91882086065080426, 0.93469387703742024]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.5,67.02647924423218,"[0.79478458001229768, 0.85464852534724467, 0.8750566888558351, 0.89886621239504305, 0.92108843513086536]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.5,51.36381411552429,"[0.85487528320342776, 0.90861678007238311, 0.92585034013605438, 0.94172335600907031, 0.93900226757369609]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.6,57.254054307937615,"[0.70204081646168859, 0.76938775521016711, 0.77324263049361386, 0.77006802750823178, 0.78888888899701526]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.5,59.3553318977356,"[0.68798185881573592, 0.77482993154028379, 0.81927437620098087, 0.84761904742982652, 0.85079365003676644]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.6,67.03877186775208,"[0.556916100205748, 0.67188208611373723, 0.67210884367257284, 0.71269841264434952, 0.69727891167275224]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.5,56.154310941696174,"[0.7269841264975585, 0.83356009048669522, 0.85827664377467705, 0.87460317441395352, 0.88775510179753203]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.5,55.80942749977112,"[0.63174603185415812, 0.72517006789205296, 0.76757369573965095, 0.78299319738703788, 0.79229024954123295]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.5,53.07184410095215,"[0.72494331041431215, 0.84104308390022675, 0.88775510204081631, 0.90952380952380951, 0.91859410430839006]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.4,119.63023066520692,"[0.82244897959183672, 0.89977324263038549, 0.9294784580498866, 0.93854875283446715, 0.93219954648526082]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.4,82.33412480354309,"[0.45464852618522383, 0.50544217660043245, 0.55873015894641143, 0.57777777748043035, 0.59387755104743978]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.6,85.00657939910889,"[0.46643990902673632, 0.5306122449790539, 0.57664399107837894, 0.59863945568770238, 0.59160997727019982]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.4,90.80436396598816,"[0.81020408141640043, 0.87278911591657438, 0.89251700604583672, 0.9029478452913885, 0.9079365071796236]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.4,71.72538042068481,"[0.62539682501838323, 0.75578231276298058, 0.80725623588172757, 0.81247165508551389, 0.83219954545806052]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.4,80.16708278656006,"[0.72585033916291741, 0.82789115597601648, 0.87346938756588099, 0.8770975055067447, 0.89160997735129466]"
