architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.6,26.58414626121521,"[0.63038548777162895, 0.6575963718550546, 0.68480725569519596, 0.7122448976077731, 0.709750566569045]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.6,28.767884016036987,"[0.75011337798198607, 0.80952380933458845, 0.82925170024776673, 0.84739229014130679, 0.84535147403102884]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.4,23.4453444480896,"[0.87097505687856347, 0.92290249452028683, 0.94897959221517691, 0.93605442214714962, 0.95873015891937985]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.6,41.71918249130249,"[0.60294784612936769, 0.65895691623493113, 0.68253968283702993, 0.68480725656020669, 0.71632653055818174]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.5,25.483896493911747,"[0.56643990948627321, 0.62607709772192166, 0.64965986391854669, 0.67959183686985181, 0.69614512514905869]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.4,18.593207597732547,"[0.76734693828894163, 0.86145124692224861, 0.88684807283267408, 0.89523809475152671, 0.91791383144266214]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.4,43.709948301315315,"[0.73877551025814481, 0.79365079405626737, 0.80272108848943735, 0.82018140649038651, 0.82902494368909974]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.5,50.78370666503906,"[0.50408163259899808, 0.54399092984037334, 0.56258503412173178, 0.59999999994593678, 0.61156462628284547]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.6,42.59436702728272,"[0.69070294800799448, 0.75668934251175446, 0.79433106538119502, 0.81224489782402576, 0.8176870744514898]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.6,16.463291645050052,"[0.72018140567943889, 0.82380952332295532, 0.86666666642338241, 0.87823129230075414, 0.88526077048848817]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.6,19.26980686187744,"[0.83333333336036497, 0.88276644017961292, 0.89773242581728629, 0.91043083902929911, 0.91065759639891364]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.4,39.79317331314087,"[0.66575963643132419, 0.86712018037869543, 0.90430838950907566, 0.92675736961451249, 0.95147392290249433]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.5,40.536267518997185,"[0.78344671239658281, 0.87732426303854871, 0.93945578231292515, 0.95192743764172338, 0.96507936507936509]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.5,30.32048892974853,"[0.87868480747248856, 0.92970521541950113, 0.95170068027210886, 0.95442176870748296, 0.96281179138321993]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.6,33.89113593101501,"[0.45555555533930286, 0.55079365073958764, 0.53968253962847657, 0.5564625847907293, 0.61088435398478091]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.5,23.68139815330505,"[0.6560090704029109, 0.73786848053640253, 0.77551020389241154, 0.78526077027223551, 0.79092970451259825]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.5,32.250283241271966,"[0.80566893445661547, 0.87074829969817003, 0.8852607713805305, 0.89795918386269047, 0.89682539682539686]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.5,105.54502582550049,"[0.65986394598370501, 0.89637188227538889, 0.92743764172335597, 0.93673469387755104, 0.94444444444444442]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.6,22.790622234344482,"[0.79002267552070882, 0.85759637139551759, 0.89274376425343038, 0.90090702874860529, 0.91065759591234519]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.5,35.47990393638611,"[0.77256235784413863, 0.83582766445315615, 0.86621315090023743, 0.87188208568123193, 0.87891156413928184]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.4,27.679035902023315,"[0.80272108870569003, 0.87482993197278913, 0.90498866240183518, 0.92902494358097343, 0.93854875283446715]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.6,27.028260707855225,"[0.81746031746031744, 0.87346938780916517, 0.88571428547100139, 0.89047618971930609, 0.91972789115646258]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.6,28.921614170074463,"[0.64988662061237157, 0.75691609988136899, 0.77709750523642884, 0.79614512428404793, 0.79092970510729321]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.5,45.51255249977112,"[0.48911564606928232, 0.51995464849904549, 0.57210884375366766, 0.58458049862292893, 0.59999999967562101]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.6,66.20587515830994,"[0.61496598688112636, 0.66439909310567946, 0.6768707484344777, 0.68934240395249691, 0.70000000013515795]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.4,53.279290437698364,"[0.70861678012644624, 0.76439909307864784, 0.78956916137617461, 0.80634920640326957, 0.81882086175909929]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.4,30.394629716873172,"[0.71451247170939192, 0.82857142781454418, 0.8678004537850551, 0.89478458025558194, 0.9038548747968782]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.6,36.99005126953125,"[0.78820861629347683, 0.88299319730594317, 0.9120181405895692, 0.92199546485260775, 0.94036281179138326]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",False,0.6,35.997870922088616,"[0.81337868507757205, 0.88344671204517222, 0.90430839004970731, 0.92244897934855252, 0.92154195014041029]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.5,41.62127947807311,"[0.82426303833250014, 0.87823129203043826, 0.90430839002267571, 0.90430839002267571, 0.92902494331065755]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.5,36.00763320922852,"[0.76439909299755315, 0.8580498866753784, 0.88866213103270586, 0.90317460241771874, 0.90839002218916842]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.4,44.012123584747314,"[0.70090702953252126, 0.77868480649935146, 0.84807256214202398, 0.87437641726059168, 0.89342403655149494]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.4,62.64746046066284,"[0.51678004550014767, 0.62040816267061127, 0.64240362809088225, 0.66099773231817749, 0.67256235822258081]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[4, 4]",True,0.5,69.07213497161865,"[0.7204081634004641, 0.78503401398388439, 0.83764172297756689, 0.83015873053717237, 0.84580498795931036]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.4,54.342450857162476,"[0.7002267572614882, 0.76235827707649628, 0.8045351470138481, 0.83129251687164485, 0.83673469317472982]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.4,89.13271808624269,"[0.7684807258398354, 0.81587301608926854, 0.85102040835248638, 0.87142857180701361, 0.86848072602905657]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.6,51.17773604393005,"[0.53696145124716554, 0.63990929691699627, 0.69614512482467961, 0.70272108805693201, 0.69274376352357758]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.4,58.172046184539795,"[0.44716553304200812, 0.58934240346592837, 0.64081632582779102, 0.66530612204350581, 0.6678004530822339]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.6,55.19383144378662,"[0.66802721120873276, 0.74580498801337347, 0.76780045332551816, 0.79183673372074048, 0.80204081616434109]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.4,93.5876624584198,"[0.43786848072477885, 0.5782312922737225, 0.67074829894128574, 0.6943310659218267, 0.72403628104398043]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.6,80.62375712394714,"[0.80362811767054798, 0.8832199546485261, 0.92562358252315569, 0.94285714285714284, 0.95215419501133791]"
