architecture,batch_size,data_augmented,dropout_keep_probability,elapsed_time_to_train,filters,ksize,test_accuracy,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,0.0,0.4,201.41290640831002,"[32, 64]","[3, 3]",0.9629453682182144,"[0.85668934259284923, 0.94331065759637189, 0.96054421768707487, 0.97188208616780047, 0.9773242630385488, 0.973015873015873, 0.972108843537415, 0.97324263038548753, 0.96916099773242625, 0.97369614512471658, 0.98185941043083902, 0.97981859410430838, 0.97528344671201816, 0.98095238095238091, 0.98208616780045355, 0.97528344671201816, 0.9773242630385488, 0.98639455782312924, 0.9791383219954648, 0.98004535147392291, 0.9843537414965986, 0.98027210884353744, 0.98004535147392291, 0.98140589569160996, 0.9773242630385488, 0.98185941043083902, 0.97936507936507933, 0.98231292517006807, 0.98253968253968249, 0.98299319727891155, 0.98231292517006807, 0.98185941043083902, 0.97777777777777775, 0.97777777777777775, 0.98185941043083902, 0.97981859410430838, 0.9843537414965986, 0.98571428571428577, 0.9834467120181406, 0.98367346938775513, 0.98117913832199544, 0.98276643990929702, 0.98321995464852607, 0.9843537414965986, 0.9834467120181406, 0.98208616780045355, 0.98185941043083902, 0.98140589569160996, 0.98140589569160996, 0.98027210884353744]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,0.0,0.6,292.29540991783136,"[64, 128]","[3, 3]",0.9592240697225692,"[0.87006802721088439, 0.91746031746031742, 0.94058956916099778, 0.95827664418015079, 0.9609977326155249, 0.97256235827664395, 0.97392290249433111, 0.96666666666666667, 0.96757369614512467, 0.97709750566893427, 0.98095238095238091, 0.96439909297052151, 0.97619047619047616, 0.97369614512471658, 0.97346938775510206, 0.9773242630385488, 0.96870748299319731, 0.96893424055203292, 0.96575963718820856, 0.97120181405895689, 0.973015873015873, 0.97641723356009069, 0.97414965986394553, 0.97596371882086164, 0.97641723356009069, 0.97165532879818595, 0.973015873015873, 0.97097505668934236, 0.97482993197278911, 0.97551020408163269, 0.9791383219954648, 0.98049886640237305, 0.97845804988662133, 0.97142857142857142, 0.98163265306122449, 0.97845804988662133, 0.97482993197278911, 0.97278911564625847, 0.97868480725623586, 0.97528344671201816, 0.97981859410430838, 0.98412698412698407, 0.9773242630385488, 0.97800453514739227, 0.98231292517006807, 0.97573696145124722, 0.97755102040816322, 0.97641723356009069, 0.97233560090702953, 0.97414965986394553]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,0.0,0.5,372.195684671402,"[64, 128]","[4, 4]",0.9526524149040712,"[0.7503401364328639, 0.91405895691609973, 0.94761904761904758, 0.9678004535147392, 0.95782312925170066, 0.96643990929705215, 0.97392290249433111, 0.97528344690123925, 0.97505668934240364, 0.96870748299319731, 0.97868480725623586, 0.97800453514739227, 0.98163265306122449, 0.97551020408163269, 0.96938775510204078, 0.96507936507936509, 0.96734693877551026, 0.96802721088435373, 0.97641723356009069, 0.97256235827664395, 0.95419501133786844, 0.97346938775510206, 0.97619047619047616, 0.98185941043083902, 0.97256235827664395, 0.97891156462585038, 0.97233560090702953, 0.97551020427085378, 0.98049886621315196, 0.9773242630385488, 0.97641723356009069, 0.98253968272890368, 0.97324263038548753, 0.98299319727891155, 0.98027210884353744, 0.97755102040816322, 0.97800453514739227, 0.97687074829931975, 0.98390022675736966, 0.98140589569160996, 0.97278911583547956, 0.9773242630385488, 0.97596371882086164, 0.97709750566893427, 0.97800453533661336, 0.97188208616780047, 0.97233560109625061, 0.97528344671201816, 0.97936507936507933, 0.97052154195011342]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,0.0,0.5,300.33452677726746,"[64, 128]","[3, 3]",0.9574030087849308,"[0.77346938775510199, 0.89138321995464853, 0.92607709750566891, 0.9503401360544218, 0.96417233560090698, 0.96213151927437646, 0.96848072562358278, 0.97142857142857142, 0.97755102040816322, 0.97437641723356005, 0.97709750566893427, 0.97460317460317458, 0.97755102040816322, 0.9782312925170068, 0.97936507936507933, 0.9843537414965986, 0.97868480725623586, 0.98412698412698407, 0.98185941043083902, 0.98095238095238091, 0.97891156462585038, 0.97800453514739227, 0.98117913832199544, 0.97800453514739227, 0.9843537414965986, 0.98027210884353744, 0.9834467120181406, 0.97959183673469385, 0.98253968253968249, 0.97981859410430838, 0.97664399092970522, 0.98503401360544218, 0.97505668934240364, 0.98208616780045355, 0.98072562358276649, 0.98321995464852607, 0.97981859410430838, 0.9843537414965986, 0.98231292517006807, 0.98707482993197282, 0.98616780045351471, 0.97346938775510206, 0.98072562358276649, 0.98616780045351471, 0.97596371882086164, 0.98095238095238091, 0.98707482993197282, 0.98185941043083902, 0.97755102040816322, 0.97120181443739906]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,0.0,0.4,296.1560480594635,"[64, 128]","[3, 3]",0.9673792558158095,"[0.78707482993197275, 0.88911564625850337, 0.92222222222222228, 0.93786848072562357, 0.96281179138321993, 0.96870748299319731, 0.96303854875283446, 0.97596371882086164, 0.97437641723356005, 0.97482993197278911, 0.9773242630385488, 0.97687074829931975, 0.97460317460317458, 0.98208616780045355, 0.98480725623582765, 0.98299319727891155, 0.97346938775510206, 0.98163265306122449, 0.98163265306122449, 0.97981859410430838, 0.97981859410430838, 0.97891156462585038, 0.97573696145124722, 0.97981859410430838, 0.9843537414965986, 0.98004535147392291, 0.98684807256235829, 0.97006802721088436, 0.98163265306122449, 0.98276643990929702, 0.98027210884353744, 0.98208616780045355, 0.97936507936507933, 0.98458049886621313, 0.97800453514739227, 0.98027210884353744, 0.98208616780045355, 0.98299319727891155, 0.97868480725623586, 0.98117913832199544, 0.97891156462585038, 0.98412698412698407, 0.98367346938775513, 0.9843537414965986, 0.98503401360544218, 0.98299319727891155, 0.98185941043083902, 0.98299319727891155, 0.9791383219954648, 0.98117913832199544]"
